,year_ceremony,category,name,film,oscar
9146,2011,Actor In A Leading Role,James Franco,127 Hours,Nominee
9147,2011,Actor In A Supporting Role,Christian Bale,The Fighter,Winner
9148,2011,Actor In A Supporting Role,John Hawkes,Winter'S Bone,Nominee
9149,2011,Actor In A Supporting Role,Jeremy Renner,The Town,Nominee
9150,2011,Actor In A Supporting Role,Mark Ruffalo,The Kids Are All Right,Nominee
9151,2011,Actor In A Supporting Role,Geoffrey Rush,The King'S Speech,Nominee
9152,2011,Actress In A Leading Role,Annette Bening,The Kids Are All Right,Nominee
9153,2011,Actress In A Leading Role,Nicole Kidman,Rabbit Hole,Nominee
9154,2011,Actress In A Leading Role,Jennifer Lawrence,Winter'S Bone,Nominee
9155,2011,Actress In A Leading Role,Natalie Portman,Black Swan,Winner
9156,2011,Actress In A Leading Role,Michelle Williams,Blue Valentine,Nominee
9157,2011,Actress In A Supporting Role,Amy Adams,The Fighter,Nominee
9158,2011,Actress In A Supporting Role,Helena Bonham Carter,The King'S Speech,Nominee
9159,2011,Actress In A Supporting Role,Melissa Leo,The Fighter,Winner
9160,2011,Actress In A Supporting Role,Hailee Steinfeld,True Grit,Nominee
9161,2011,Actress In A Supporting Role,Jacki Weaver,Animal Kingdom,Nominee
9180,2011,Directing,Darren Aronofsky,Black Swan,Nominee
9181,2011,Directing,David O. Russell,The Fighter,Nominee
9182,2011,Directing,Tom Hooper,The King'S Speech,Winner
9183,2011,Directing,David Fincher,The Social Network,Nominee
9184,2011,Directing,Joel Coen and Ethan Coen,True Grit,Nominee
9200,2011,International Feature Film,Mexico,Biutiful,Nominee
9201,2011,International Feature Film,Greece,Dogtooth,Nominee
9202,2011,International Feature Film,Denmark,In A Better World,Winner
9203,2011,International Feature Film,Canada,Incendies,Nominee
9204,2011,International Feature Film,Algeria,Outside The Law (Hors-La-Loi),Nominee
9217,2011,Best Picture,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",Black Swan,Nominee
9218,2011,Best Picture,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",The Fighter,Nominee
9219,2011,Best Picture,"Emma Thomas and Christopher Nolan, Producers",Inception,Nominee
9220,2011,Best Picture,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",The Kids Are All Right,Nominee
